node_id,longitude,latitude
0,126.5562494,45.6755250
1,126.5525082,45.6713563
2,126.5547059,45.6738071
3,126.6563674,45.7661295
4,126.6555703,45.7649701
5,126.6673771,45.7097170
6,126.6681816,45.7096524
7,126.6677543,45.7096334
8,126.6680238,45.7096486
9,126.5264607,45.7268544
10,126.5265662,45.7264606
11,126.6013785,45.7496354
12,126.6006133,45.7488287
13,126.7474998,45.7480420
14,126.7495391,45.7479733
15,126.6395993,45.8172128
16,126.6389302,45.8184144
17,126.6392616,45.8177988
18,126.6772936,45.7756496
19,126.6779977,45.7747648
20,126.6779538,45.7754375
21,126.6629093,45.7730943
22,126.6657773,45.7730042
23,126.6642290,45.7729715
24,126.6933429,45.7605994
25,126.6944306,45.7591483
26,126.6942200,45.7599746
27,126.6675282,45.7118337
28,126.6684920,45.7115925
29,126.6443130,45.7887977
30,126.6212755,45.7780580
31,126.6429300,45.7880541
32,126.6414432,45.7872501
33,126.6399753,45.7865401
34,126.6373601,45.7857670
35,126.6350640,45.7850853
36,126.6330141,45.7843571
37,126.6303857,45.7833897
38,126.6296145,45.7831333
39,126.6295193,45.7831068
40,126.6267495,45.7822810
41,126.6264561,45.7821871
42,126.6233521,45.7811470
43,126.6224838,45.7804871
44,126.6216588,45.7788113
45,126.6215566,45.7786429
46,126.6114980,45.7456673
47,126.6120077,45.7454198
48,126.6290030,45.7530894
49,126.6264014,45.7546962
50,126.6279517,45.7538124
51,126.6278695,45.7538603
52,126.6264648,45.7546601
53,126.5637660,45.8283731
54,126.5651581,45.8283656
55,126.6609888,45.7424593
56,126.6678599,45.7465911
57,126.6618566,45.7429915
58,126.6627954,45.7435678
59,126.6632319,45.7438511
60,126.6636744,45.7441097
61,126.6641274,45.7443941
62,126.6648045,45.7448130
63,126.6654356,45.7452035
64,126.6667062,45.7459895
65,126.6292957,45.8174991
66,126.6192705,45.8312925
67,126.6291751,45.8176478
68,126.6274494,45.8200734
69,126.6274053,45.8201350
70,126.6267260,45.8210901
71,126.6266883,45.8211407
72,126.6228808,45.8262489
73,126.6228402,45.8262985
74,126.6215381,45.8280317
75,126.6199026,45.8301036
76,126.6198540,45.8301533
77,126.6754612,45.7073300
78,126.6760163,45.7064644
79,126.6239335,45.7395892
80,126.6241219,45.7394896
81,126.6172282,45.7690056
82,126.6138103,45.7686248
83,126.6536746,45.7351129
84,126.6626032,45.7320307
85,126.6538017,45.7350683
86,126.6556499,45.7344349
87,126.6569577,45.7339907
88,126.6573023,45.7338737
89,126.6575359,45.7337943
90,126.6586688,45.7334095
91,126.6602146,45.7328661
92,126.6607581,45.7326722
93,126.6617204,45.7323256
94,126.5602038,45.7702789
95,126.5620802,45.7703071
96,126.6849896,45.7961174
97,126.6854684,45.7960668
98,126.6851369,45.7961075
99,126.6339922,45.7880639
100,126.6327890,45.7872832
