node_id,longitude,latitude
334304113,126.614024,45.7294837
334304160,126.5912057,45.7640134
334304164,126.5966623,45.7598017
334304432,126.5855366,45.7555272
334304433,126.5894387,45.7569239
334304434,126.590751,45.757342
334304444,126.5997244,45.7658921
334304448,126.6090286,45.7643501
334305011,126.586454,45.7601284
334305013,126.5673802,45.7745084
334324836,126.5754799,45.7794925
334325326,126.5462375,45.8054978
334325330,126.5460018,45.8040684
334358674,126.6304247,45.7581548
334360322,126.5886763,45.7610245
334360329,126.5979289,45.7715785
334360330,126.6014737,45.7734653
334360334,126.6064092,45.7751999
334360338,126.614856,45.7770781
334360339,126.6166855,45.7772245
334360341,126.6195419,45.7775525
334360358,126.635064,45.7850853
334360359,126.6373601,45.785767
334360363,126.64293,45.7880541
334360364,126.644313,45.7887977
334360370,126.6756363,45.7984148
334360391,126.7040298,45.7503551
334360403,126.6713592,45.7246624
334363415,126.7814054,45.7858719
334363416,126.7790488,45.7864922
334363420,126.7635076,45.7856946
334363433,126.730937,45.7905009
334363442,126.6720659,45.7825852
334363443,126.6608333,45.7723933
334369611,126.5478885,45.7989376
334380061,126.737484,45.8337966
334380065,126.7247696,45.8285106
334380072,126.7235527,45.8226886
334380074,126.7229292,45.818504
334380078,126.7067538,45.7973617
334380312,126.7511968,45.8149606
334380318,126.7693217,45.8021234
334380319,126.7742755,45.7995392
334650460,126.646898,45.7881
334650461,126.6485641,45.7886006
334650462,126.6502445,45.7891056
334650463,126.6519503,45.7896182
334650465,126.6555538,45.7907009
334650466,126.6575611,45.7913041
334650533,126.6476006,45.7869718
334650534,126.6486835,45.785192
334650535,126.6490725,45.784579
334650536,126.6494764,45.7846996
334650537,126.6502976,45.7833575
334650553,126.645904,45.7864285
334650576,126.6481866,45.7826997
335579308,126.6142827,45.6751301
338475997,126.7532503,45.7736268
338476001,126.7755649,45.7763507
401256780,126.6998907,45.7682331
401256897,126.700302,45.7662923
401256955,126.7020654,45.7674337
401257628,126.7061874,45.7678283
401257629,126.7048458,45.7676926
